Тип цифровых платежных систем,Частота использования,Цели использования,Средний размер транзакции,Привлекательность,Испытывали ли вы проблемы,Считаете ли вы цифровые платежные системы безопасными,Планируете ли вы использовать цифровые платежные системы чаще в будущем,Дополнительные функции,Наиболее важные критерии
Электронные кошельки,Ежедневно,Покупки онлайн,Менее 1500 тенге,Другие,Нет,Да,Нет,Другие,Безопасность
PayPal,Реже,Покупки онлайн,1500-5000 тенге,Удобство,Нет,Не уверен,Да,Дополнительные скидки и предложения,Безопасность
Другие,Раз в неделю,Другие,5000-15000 тенге,Удобство,Да,Да,Не уверен,Быстрая проверка баланса,Доступность на всех устройствах
Электронные кошельки,Раз в неделю,Другие,Менее 1500 тенге,Скорость,Да,Нет,Нет,Другие,Скорость
Другие,Несколько раз в неделю,Другие,Менее 1500 тенге,Простота использования,Нет,Нет,Да,Интеграция с другими сервисами,Скорость
Другие,Реже,Переводы между друзьями/родственниками,Менее 1500 тенге,Удобство,Нет,Нет,Не уверен,Другие,Удобство
Электронные кошельки,Ежедневно,Оплата счетов,5000-15000 тенге,Другие,Да,Не уверен,Да,Дополнительные скидки и предложения,Доступность на всех устройствах
Электронные кошельки,Раз в неделю,Другие,1500-5000 тенге,Безопасность,Нет,Нет,Не уверен,Интеграция с другими сервисами,Доступность на всех устройствах
Электронные кошельки,Реже,Оплата счетов,5000-15000 тенге,Простота использования,Нет,Нет,Да,Другие,Скорость
Apple Pay,Несколько раз в неделю,Другие,5000-15000 тенге,Безопасность,Нет,Нет,Нет,Улучшенная безопасность,Скорость
Google Pay,Раз в неделю,Покупки онлайн,Более 15000 тенге,Удобство,Да,Не уверен,Не уверен,Улучшенная безопасность,Скорость
Apple Pay,Реже,Покупки онлайн,Более 15000 тенге,Другие,Нет,Да,Не уверен,Улучшенная безопасность,Безопасность
Другие,Несколько раз в неделю,Оплата счетов,5000-15000 тенге,Простота использования,Да,Да,Не уверен,Дополнительные скидки и предложения,Скорость
Apple Pay,Ежедневно,Переводы между друзьями/родственниками,Более 15000 тенге,Простота использования,Нет,Нет,Да,Интеграция с другими сервисами,Удобство
Google Pay,Реже,Покупки онлайн,Более 15000 тенге,Скорость,Нет,Нет,Нет,Другие,Удобство
Apple Pay,Реже,Оплата счетов,Более 15000 тенге,Удобство,Да,Не уверен,Нет,Другие,Удобство
Google Pay,Ежедневно,Другие,Менее 1500 тенге,Удобство,Да,Не уверен,Да,Интеграция с другими сервисами,Скорость
Другие,Раз в неделю,Другие,1500-5000 тенге,Простота использования,Нет,Не уверен,Нет,Улучшенная безопасность,Доступность на всех устройствах
Электронные кошельки,Раз в неделю,Другие,Более 15000 тенге,Безопасность,Да,Не уверен,Нет,Другие,Безопасность
Google Pay,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Удобство,Нет,Нет,Да,Улучшенная безопасность,Доступность на всех устройствах
Другие,Реже,Другие,5000-15000 тенге,Безопасность,Нет,Да,Нет,Другие,Безопасность
Apple Pay,Ежедневно,Другие,5000-15000 тенге,Удобство,Да,Нет,Не уверен,Улучшенная безопасность,Доступность на всех устройствах
Google Pay,Реже,Другие,1500-5000 тенге,Скорость,Да,Нет,Нет,Улучшенная безопасность,Удобство
Электронные кошельки,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Скорость,Нет,Нет,Не уверен,Другие,Безопасность
PayPal,Ежедневно,Покупки онлайн,1500-5000 тенге,Скорость,Нет,Да,Да,Улучшенная безопасность,Скорость
Google Pay,Несколько раз в неделю,Покупки онлайн,Более 15000 тенге,Безопасность,Да,Не уверен,Да,Улучшенная безопасность,Безопасность
Электронные кошельки,Несколько раз в неделю,Переводы между друзьями/родственниками,Более 15000 тенге,Простота использования,Да,Нет,Не уверен,Быстрая проверка баланса,Доступность на всех устройствах
Google Pay,Ежедневно,Другие,5000-15000 тенге,Другие,Да,Не уверен,Да,Быстрая проверка баланса,Скорость
Другие,Несколько раз в неделю,Покупки онлайн,1500-5000 тенге,Другие,Нет,Нет,Не уверен,Дополнительные скидки и предложения,Скорость
Google Pay,Ежедневно,Другие,Менее 1500 тенге,Другие,Да,Не уверен,Да,Другие,Скорость
Электронные кошельки,Ежедневно,Другие,5000-15000 тенге,Другие,Нет,Нет,Нет,Другие,Доступность на всех устройствах
Google Pay,Реже,Оплата счетов,5000-15000 тенге,Удобство,Да,Нет,Нет,Дополнительные скидки и предложения,Безопасность
Apple Pay,Несколько раз в неделю,Покупки онлайн,1500-5000 тенге,Простота использования,Да,Нет,Да,Интеграция с другими сервисами,Доступность на всех устройствах
Apple Pay,Ежедневно,Оплата счетов,1500-5000 тенге,Удобство,Да,Нет,Не уверен,Быстрая проверка баланса,Удобство
Google Pay,Ежедневно,Переводы между друзьями/родственниками,Более 15000 тенге,Простота использования,Нет,Нет,Нет,Дополнительные скидки и предложения,Безопасность
Google Pay,Реже,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Нет,Да,Да,Интеграция с другими сервисами,Безопасность
PayPal,Раз в неделю,Переводы между друзьями/родственниками,Более 15000 тенге,Простота использования,Да,Не уверен,Не уверен,Интеграция с другими сервисами,Удобство
Электронные кошельки,Ежедневно,Другие,1500-5000 тенге,Безопасность,Да,Не уверен,Нет,Интеграция с другими сервисами,Скорость
Google Pay,Несколько раз в неделю,Оплата счетов,Менее 1500 тенге,Другие,Да,Не уверен,Не уверен,Быстрая проверка баланса,Доступность на всех устройствах
Другие,Ежедневно,Переводы между друзьями/родственниками,Менее 1500 тенге,Удобство,Да,Да,Да,Улучшенная безопасность,Безопасность
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,1500-5000 тенге,Скорость,Да,Не уверен,Не уверен,Другие,Доступность на всех устройствах
PayPal,Реже,Покупки онлайн,1500-5000 тенге,Удобство,Да,Да,Нет,Дополнительные скидки и предложения,Скорость
PayPal,Реже,Покупки онлайн,1500-5000 тенге,Скорость,Нет,Нет,Нет,Быстрая проверка баланса,Безопасность
Электронные кошельки,Несколько раз в неделю,Покупки онлайн,Менее 1500 тенге,Простота использования,Нет,Да,Нет,Другие,Удобство
Apple Pay,Несколько раз в неделю,Переводы между друзьями/родственниками,Менее 1500 тенге,Удобство,Да,Да,Не уверен,Другие,Доступность на всех устройствах
PayPal,Реже,Другие,5000-15000 тенге,Простота использования,Нет,Нет,Нет,Интеграция с другими сервисами,Безопасность
PayPal,Несколько раз в неделю,Оплата счетов,5000-15000 тенге,Безопасность,Нет,Да,Не уверен,Дополнительные скидки и предложения,Удобство
Другие,Раз в неделю,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Да,Нет,Дополнительные скидки и предложения,Безопасность
PayPal,Реже,Другие,1500-5000 тенге,Простота использования,Нет,Да,Да,Быстрая проверка баланса,Безопасность
PayPal,Ежедневно,Покупки онлайн,Более 15000 тенге,Безопасность,Да,Нет,Не уверен,Быстрая проверка баланса,Безопасность
Google Pay,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Другие,Нет,Не уверен,Нет,Дополнительные скидки и предложения,Удобство
Apple Pay,Ежедневно,Покупки онлайн,5000-15000 тенге,Удобство,Да,Да,Не уверен,Интеграция с другими сервисами,Безопасность
PayPal,Раз в неделю,Покупки онлайн,Менее 1500 тенге,Другие,Да,Да,Нет,Другие,Скорость
Электронные кошельки,Раз в неделю,Оплата счетов,5000-15000 тенге,Простота использования,Нет,Да,Не уверен,Быстрая проверка баланса,Безопасность
PayPal,Реже,Переводы между друзьями/родственниками,5000-15000 тенге,Простота использования,Да,Нет,Не уверен,Быстрая проверка баланса,Удобство
Apple Pay,Раз в неделю,Покупки онлайн,5000-15000 тенге,Простота использования,Нет,Да,Нет,Быстрая проверка баланса,Безопасность
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,Менее 1500 тенге,Безопасность,Нет,Нет,Да,Другие,Доступность на всех устройствах
Другие,Раз в неделю,Переводы между друзьями/родственниками,Более 15000 тенге,Безопасность,Нет,Не уверен,Да,Другие,Удобство
Другие,Раз в неделю,Оплата счетов,5000-15000 тенге,Простота использования,Нет,Нет,Не уверен,Улучшенная безопасность,Скорость
Другие,Несколько раз в неделю,Покупки онлайн,Более 15000 тенге,Другие,Да,Да,Нет,Интеграция с другими сервисами,Доступность на всех устройствах
Электронные кошельки,Ежедневно,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Нет,Да,Интеграция с другими сервисами,Скорость
Другие,Несколько раз в неделю,Оплата счетов,1500-5000 тенге,Простота использования,Нет,Нет,Не уверен,Дополнительные скидки и предложения,Удобство
Другие,Реже,Покупки онлайн,5000-15000 тенге,Простота использования,Да,Нет,Да,Быстрая проверка баланса,Скорость
Электронные кошельки,Ежедневно,Оплата счетов,Менее 1500 тенге,Безопасность,Да,Да,Да,Дополнительные скидки и предложения,Скорость
Apple Pay,Ежедневно,Другие,Менее 1500 тенге,Удобство,Да,Не уверен,Нет,Другие,Безопасность
PayPal,Несколько раз в неделю,Покупки онлайн,Менее 1500 тенге,Простота использования,Да,Не уверен,Да,Быстрая проверка баланса,Удобство
Электронные кошельки,Ежедневно,Оплата счетов,Менее 1500 тенге,Другие,Нет,Не уверен,Не уверен,Улучшенная безопасность,Скорость
Apple Pay,Реже,Оплата счетов,Более 15000 тенге,Другие,Нет,Да,Не уверен,Дополнительные скидки и предложения,Скорость
Google Pay,Реже,Покупки онлайн,Менее 1500 тенге,Другие,Да,Да,Нет,Интеграция с другими сервисами,Удобство
Google Pay,Раз в неделю,Покупки онлайн,5000-15000 тенге,Скорость,Нет,Да,Не уверен,Интеграция с другими сервисами,Безопасность
PayPal,Раз в неделю,Переводы между друзьями/родственниками,Более 15000 тенге,Скорость,Нет,Нет,Нет,Быстрая проверка баланса,Безопасность
Другие,Реже,Покупки онлайн,5000-15000 тенге,Безопасность,Да,Да,Нет,Другие,Доступность на всех устройствах
Apple Pay,Раз в неделю,Оплата счетов,Менее 1500 тенге,Удобство,Да,Не уверен,Нет,Интеграция с другими сервисами,Удобство
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Да,Нет,Интеграция с другими сервисами,Удобство
PayPal,Раз в неделю,Другие,5000-15000 тенге,Простота использования,Да,Нет,Нет,Интеграция с другими сервисами,Безопасность
PayPal,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Скорость,Да,Нет,Да,Интеграция с другими сервисами,Безопасность
Apple Pay,Раз в неделю,Оплата счетов,Более 15000 тенге,Скорость,Нет,Нет,Нет,Дополнительные скидки и предложения,Безопасность
Электронные кошельки,Раз в неделю,Другие,Более 15000 тенге,Безопасность,Нет,Да,Нет,Интеграция с другими сервисами,Скорость
Электронные кошельки,Ежедневно,Покупки онлайн,Более 15000 тенге,Скорость,Да,Не уверен,Нет,Другие,Удобство
Google Pay,Ежедневно,Покупки онлайн,Менее 1500 тенге,Удобство,Да,Не уверен,Да,Улучшенная безопасность,Удобство
Электронные кошельки,Реже,Оплата счетов,Более 15000 тенге,Скорость,Нет,Не уверен,Да,Интеграция с другими сервисами,Доступность на всех устройствах
PayPal,Несколько раз в неделю,Покупки онлайн,5000-15000 тенге,Безопасность,Нет,Не уверен,Да,Быстрая проверка баланса,Безопасность
PayPal,Раз в неделю,Переводы между друзьями/родственниками,Менее 1500 тенге,Простота использования,Да,Нет,Нет,Другие,Доступность на всех устройствах
PayPal,Ежедневно,Оплата счетов,5000-15000 тенге,Скорость,Нет,Нет,Нет,Улучшенная безопасность,Скорость
Google Pay,Реже,Оплата счетов,Более 15000 тенге,Скорость,Нет,Не уверен,Да,Другие,Доступность на всех устройствах
Apple Pay,Реже,Переводы между друзьями/родственниками,1500-5000 тенге,Безопасность,Нет,Да,Нет,Быстрая проверка баланса,Скорость
Электронные кошельки,Раз в неделю,Другие,Менее 1500 тенге,Удобство,Да,Нет,Нет,Интеграция с другими сервисами,Безопасность
PayPal,Раз в неделю,Другие,1500-5000 тенге,Удобство,Да,Да,Не уверен,Интеграция с другими сервисами,Скорость
Google Pay,Реже,Покупки онлайн,1500-5000 тенге,Другие,Да,Да,Нет,Дополнительные скидки и предложения,Безопасность
Другие,Несколько раз в неделю,Переводы между друзьями/родственниками,5000-15000 тенге,Другие,Да,Не уверен,Нет,Интеграция с другими сервисами,Удобство
Электронные кошельки,Несколько раз в неделю,Другие,1500-5000 тенге,Удобство,Нет,Нет,Нет,Улучшенная безопасность,Доступность на всех устройствах
PayPal,Раз в неделю,Переводы между друзьями/родственниками,1500-5000 тенге,Безопасность,Да,Да,Нет,Улучшенная безопасность,Скорость
PayPal,Реже,Другие,Менее 1500 тенге,Скорость,Нет,Да,Нет,Быстрая проверка баланса,Удобство
Google Pay,Реже,Другие,1500-5000 тенге,Другие,Нет,Нет,Нет,Дополнительные скидки и предложения,Доступность на всех устройствах
Google Pay,Раз в неделю,Покупки онлайн,Более 15000 тенге,Скорость,Нет,Нет,Не уверен,Быстрая проверка баланса,Безопасность
Другие,Раз в неделю,Покупки онлайн,5000-15000 тенге,Другие,Нет,Не уверен,Не уверен,Другие,Скорость
PayPal,Ежедневно,Другие,5000-15000 тенге,Простота использования,Нет,Нет,Да,Дополнительные скидки и предложения,Удобство
Apple Pay,Ежедневно,Оплата счетов,5000-15000 тенге,Безопасность,Да,Не уверен,Нет,Улучшенная безопасность,Доступность на всех устройствах
Другие,Реже,Переводы между друзьями/родственниками,1500-5000 тенге,Простота использования,Нет,Нет,Нет,Улучшенная безопасность,Удобство
Apple Pay,Несколько раз в неделю,Оплата счетов,Более 15000 тенге,Удобство,Да,Да,Не уверен,Другие,Безопасность
